fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
135,10kmE471N243,139.93319227189681,144.4676055908203,1,1,"list(c(374935.7886, 375755.655, 385707.6339, 384887.378, 374935.7886, 4970799.5456, 4980779.452, 4979925.0744, 4969945.7352, 4970799.5456))"
136,10kmE471N244,229.18129435776115,221.8125457763672,1,1,"list(c(375755.655, 376576.501, 386528.8634, 385707.6339, 375755.655, 4980779.452, 4990758.791, 4989903.8488, 4979925.0744, 4980779.452))"
143,10kmE472N232,-72.08370528525738,-71.92584991455078,4.998392928887103,5,"list(c(375929.2851, 376738.7242, 386685.9085, 385876.0115, 375929.2851, 4860133.8662, 4870119.8471, 4869270.3048, 4859284.8995, 4860133.8662))"
144,10kmE472N233,-45.01511292972091,-49.72846984863281,4.331354560172693,5,"list(c(376738.7242, 377549.1548, 387496.791, 386685.9085, 376738.7242, 4870119.8471, 4880105.1917, 4879255.0763, 4869270.3048, 4870119.8471))"
145,10kmE472N234,-39.42274131233432,-43.775339126586914,3.690322580645161,4,"list(c(377549.1548, 378360.5753, 388308.6575, 387496.791, 377549.1548, 4880105.1917, 4890089.9067, 4889239.2204, 4879255.0763, 4880105.1917))"
146,10kmE472N235,-35.53881730983979,-41.617130279541016,3.617081182543407,4,"list(c(378360.5753, 379172.9839, 389121.5063, 388308.6575, 378360.5753, 4890089.9067, 4900073.9985, 4899222.7438, 4889239.2204, 4890089.9067))"
147,10kmE472N236,-31.733727781802042,-32.53903770446777,3.53494094488189,4,"list(c(379172.9839, 379986.3792, 389935.3357, 389121.5063, 379172.9839, 4900073.9985, 4910057.4735, 4909205.6529, 4899222.7438, 4900073.9985))"
148,10kmE472N237,-27.61101345167302,-21.295615196228027,3.111357340720222,4,"list(c(379986.3792, 380800.7594, 390750.1442, 389935.3357, 379986.3792, 4910057.4735, 4920040.3383, 4919187.9541, 4909205.6529, 4910057.4735))"
149,10kmE472N238,-15.45212817171056,-10.961174488067627,2.956834532374101,4,"list(c(380800.7594, 381616.1229, 391565.9301, 390750.1442, 380800.7594, 4920040.3383, 4930022.5993, 4929169.654, 4919187.9541, 4920040.3383))"
150,10kmE472N239,129.5701651581909,89.32862091064453,3.463497453310696,4,"list(c(381616.1229, 382432.4682, 392382.6918, 391565.9301, 381616.1229, 4930022.5993, 4940004.263, 4939150.759, 4929169.654, 4930022.5993))"
